Codigo,Nombre,Tipo,Cantidad,Precio,Minimo,ValorTotal,Año,Mes,Dia
P-0251,Smart TV LG 4K,Electrónico,9,4239000,2,38151000,2006,Agosto,11
P-0252,Servidor Rack 1U Dell 4K,Electrónico,36,10629000,11,382644000,2022,Julio,26
P-0253,Cable DisplayPort Cable Matters Mini,Accesorio,8,59000,3,472000,2009,Enero,5
P-0254,Micrófono USB Havit Lite,Periférico,18,605000,13,10890000,2012,Abril,5
P-0255,Router WiFi Cisco Basic,Red,16,626000,11,10016000,2021,Septiembre,2
P-0256,NAS Server Crucial V3,Almacenamiento,2,2590000,5,5180000,2020,Junio,10
P-0257,Smart TV MSI V2,Electrónico,32,1667000,10,53344000,2011,Octubre,30
P-0258,Memoria RAM Seagate Basic,Almacenamiento,1,285000,4,285000,2014,Agosto,27
P-0259,Regleta Eléctrica Anker HD,Accesorio,2,118000,3,236000,2016,Noviembre,16
P-0260,Switch 24 puertos Zyxel V2,Red,50,2456000,11,122800000,2014,Agosto,23
P-0261,Disco SSD SanDisk Elite,Almacenamiento,13,650000,3,8450000,2003,Enero,27
P-0262,Papel Fotográfico A4 AmazonBasics Ultra,Accesorio,3,55000,2,165000,2007,Abril,5
P-0263,Papel Fotográfico A4 Orico Lite,Accesorio,6,20000,2,120000,2007,Mayo,25
P-0264,Smart TV Dell X,Electrónico,47,3633000,10,170751000,2002,Septiembre,23
P-0265,UPS 1200VA Sola Slim,Energía,45,522000,9,23490000,2010,Marzo,16
P-0266,Soporte Monitor Anker Max,Accesorio,12,229000,9,2748000,2000,Mayo,15
P-0267,Switch 8 puertos Cisco HD,Red,0,571000,13,0,2018,Agosto,20
P-0268,Soporte Monitor Anker Pro,Accesorio,41,138000,13,5658000,2017,Diciembre,1
P-0269,Rack 12U Netgear Max,Red,30,1413000,6,42390000,2007,Agosto,29
P-0270,Disco HDD Transcend Pro,Almacenamiento,6,473000,12,2838000,2018,Febrero,3
P-0271,Cámara Web A4Tech V2,Periférico,5,317000,6,1585000,2007,Enero,1
P-0272,Licencia Antivirus Adobe Max,Software,33,161000,11,5313000,2000,Noviembre,9
P-0273,Papel Fotográfico A4 Cable Matters V3,Accesorio,0,60000,8,0,2002,Octubre,7
P-0274,Cable DisplayPort Belkin Ultra,Accesorio,29,93000,8,2697000,2022,Abril,27
P-0275,Control de Acceso Dahua V2,Seguridad,9,1458000,3,13122000,2020,Diciembre,5
P-0276,Patch Panel Mikrotik Pro,Red,2,305000,6,610000,2001,Marzo,18
P-0277,Disco HDD Lexar Basic,Almacenamiento,2,265000,4,530000,2007,Mayo,31
P-0278,Licencia Office 365 Bitdefender Plus,Software,10,350000,12,3500000,2002,Septiembre,24
P-0279,Teclado Havit Mini,Periférico,3,158000,4,474000,2001,Enero,20
P-0280,Limpiador Pantalla Vention HD,Accesorio,39,22000,13,858000,2010,Septiembre,17
P-0281,Memoria USB Kingston Lite,Almacenamiento,20,103000,6,2060000,2002,Julio,14
P-0282,Impresora Láser Lexmark Basic,Impresión,67,1967000,14,131789000,2016,Febrero,4
P-0283,Lápiz Digitalizador Trust V2,Periférico,27,236000,9,6372000,2007,Abril,25
P-0284,Limpiador Pantalla Orico SE,Accesorio,20,45000,8,900000,2008,Febrero,10
P-0285,DVR 8 Canales Axis Elite,Seguridad,7,1092000,2,7644000,2021,Agosto,8
P-0286,UPS 1200VA APC V3,Energía,0,1008000,15,0,2015,Febrero,10
P-0287,Proyector Lenovo Ultra,Electrónico,0,5480000,10,0,2006,Noviembre,4
P-0288,Router WiFi Cisco Slim,Red,37,407000,15,15059000,2017,Marzo,2
P-0289,Mini PC HP Mini,Electrónico,23,959000,8,22057000,2004,Agosto,8
P-0290,Tarjeta SD WD Max,Almacenamiento,1,87000,2,87000,2023,Diciembre,14
P-0291,Sensor Movimiento Hanwha V2,Seguridad,0,170000,14,0,2018,Mayo,21
P-0292,Tablet Acer Slim,Electrónico,61,1767000,13,107787000,2018,Septiembre,26
P-0293,Cable DisplayPort Orico Lite,Accesorio,0,22000,3,0,2015,Diciembre,20
P-0294,Scanner Corsair SE,Periférico,18,1094000,11,19692000,2007,Mayo,15
P-0295,Limpiador Pantalla Ugreen Basic,Accesorio,0,31000,3,0,2025,Julio,3
P-0296,SSD NVMe Transcend Lite,Almacenamiento,10,344000,3,3440000,2015,Agosto,4
P-0297,Regleta Eléctrica Vention Pro,Accesorio,19,115000,10,2185000,2025,Agosto,27
P-0298,Cartucho Epson Brother Pro,Impresión,10,135000,5,1350000,2013,Abril,29
P-0299,Base Laptop Cable Matters Plus,Accesorio,0,189000,7,0,2006,Agosto,16
P-0300,Rack 12U TP-Link Mini,Red,7,1612000,2,11284000,2003,Septiembre,20
P-0301,Impresora 3D Xerox Pro,Impresión,0,4425000,14,0,2003,Marzo,18
P-0302,Impresora Inkjet Xerox V2,Impresión,62,426000,14,26412000,2021,Julio,1
P-0303,Disco HDD Seagate Pro,Almacenamiento,3,330000,10,990000,2013,Abril,21
P-0304,Sensor Movimiento Hanwha Lite,Seguridad,17,263000,9,4471000,2011,Octubre,17
P-0305,Smart TV Apple Pro,Electrónico,0,2401000,5,0,2013,Septiembre,19
P-0306,Lápiz Digitalizador Logitech Max,Periférico,44,169000,10,7436000,2013,Diciembre,8
P-0307,Access Point Ubiquiti Pro,Red,1,942000,5,942000,2014,Marzo,23
P-0308,Licencia Antivirus Norton Max,Software,9,259000,3,2331000,2023,Febrero,5
P-0309,Licencia AutoCAD Kaspersky V3,Software,2,2800000,8,5600000,2001,Mayo,10
P-0310,Cable UTP Cat6 Zyxel Max,Red,2,33000,10,66000,2021,Julio,14
P-0311,Adaptador USB-C HDMI Orico Plus,Accesorio,22,90000,11,1980000,2020,Junio,1
P-0312,Firewall Bosch Max,Seguridad,2,2640000,3,5280000,2020,Septiembre,20
P-0313,Papel Fotográfico A4 Orico X,Accesorio,4,63000,8,252000,2003,Mayo,12
P-0314,Memoria RAM Lexar Pro,Almacenamiento,28,541000,11,15148000,2001,Enero,8
P-0315,Escritorio Gaming Ergonómix Plus,Mobiliario,44,1954000,12,85976000,2012,Mayo,19
P-0316,DVR 8 Canales Hanwha V2,Seguridad,0,907000,2,0,2023,Diciembre,14
P-0317,Regleta Eléctrica Cable Matters HD,Accesorio,0,91000,2,0,2010,Mayo,6
P-0318,Impresora Inkjet Kyocera V2,Impresión,25,695000,7,17375000,2025,Octubre,22
P-0319,Tablet Toshiba Elite,Electrónico,32,2190000,9,70080000,2003,Octubre,22
P-0320,Switch 8 puertos Cisco X,Red,30,360000,10,10800000,2007,Noviembre,3
P-0321,Soporte Monitor Ugreen Basic,Accesorio,9,104000,2,936000,2006,Agosto,17
P-0322,Rack 12U Tenda Slim,Red,2,1800000,3,3600000,2006,Marzo,12
P-0323,Cable DisplayPort Orico Basic,Accesorio,44,58000,13,2552000,2017,Agosto,3
P-0324,Lápiz Digitalizador Razer Elite,Periférico,14,308000,3,4312000,2014,Septiembre,31
P-0325,Switch 8 puertos Cisco HD,Red,2,547000,12,1094000,2004,Agosto,17
P-0326,UPS 1200VA Eaton Ultra,Energía,12,787000,15,9444000,2013,Junio,18
P-0327,Mini PC Lenovo HD,Electrónico,4,1590000,10,6360000,2005,Junio,17
P-0328,Cámara IP Dahua Basic,Seguridad,7,785000,2,5495000,2008,Septiembre,26
P-0329,Switch 24 puertos Netgear X,Red,0,2460000,3,0,2014,Septiembre,17
P-0330,NAS Server Lexar SE,Almacenamiento,50,2882000,14,144100000,2007,Julio,18
P-0331,Smart TV Lenovo Max,Electrónico,13,3831000,3,49803000,2002,Agosto,1
P-0332,Rack 12U Mikrotik Elite,Red,20,1779000,12,35580000,2014,Junio,13
P-0333,Router WiFi TP-Link 4K,Red,3,307000,10,921000,2025,Abril,28
P-0334,Micrófono USB Trust Slim,Periférico,3,543000,5,1629000,2017,Diciembre,16
P-0335,Licencia Office 365 Microsoft Ultra,Software,29,350000,12,10150000,2003,Abril,2
P-0336,Teclado SteelSeries X,Periférico,5,353000,3,1765000,2001,Octubre,21
P-0337,Regulador Voltaje Eaton Elite,Energía,50,172000,12,8600000,2020,Julio,13
P-0338,Disco HDD Transcend Pro,Almacenamiento,0,164000,3,0,2017,Abril,12
P-0339,Soporte Monitor AmazonBasics X,Accesorio,10,142000,12,1420000,2026,Julio,9
P-0340,SSD NVMe Transcend V2,Almacenamiento,43,311000,9,13373000,2000,Enero,24
P-0341,Cartucho Epson Xerox Ultra,Impresión,17,168000,5,2856000,2002,Junio,1
P-0342,Papel Fotográfico A4 Orico Plus,Accesorio,1,62000,2,62000,2024,Diciembre,12
P-0343,Access Point Zyxel Basic,Red,0,628000,11,0,2007,Agosto,26
P-0344,Licencia Antivirus Norton Max,Software,0,296000,8,0,2005,Diciembre,3
P-0345,Memoria USB PNY SE,Almacenamiento,1,38000,7,38000,2013,Julio,12
P-0346,Tóner HP Brother Basic,Impresión,0,121000,3,0,2015,Julio,8
P-0347,Tarjeta SD Transcend Mini,Almacenamiento,67,93000,15,6231000,2015,Noviembre,24
P-0348,Disco SSD Transcend V3,Almacenamiento,20,520000,5,10400000,2006,Noviembre,22
P-0349,Patch Panel Zyxel Lite,Red,0,277000,9,0,2012,Marzo,21
P-0350,NAS Server PNY Lite,Almacenamiento,6,2186000,5,13116000,2001,Agosto,4
P-0351,Smartphone Acer Lite,Electrónico,45,3347000,15,150615000,2005,Enero,25
P-0352,Cartucho Epson Lexmark Pro,Impresión,0,72000,8,0,2012,Marzo,19
P-0353,Impresora 3D Xerox Max,Impresión,33,7757000,8,255981000,2000,Septiembre,24
P-0354,Smartphone Toshiba SE,Electrónico,9,1697000,7,15273000,2012,Octubre,25
P-0355,Tarjeta SD PNY Lite,Almacenamiento,25,170000,6,4250000,2008,Junio,11
P-0356,Hub USB-C Vention Plus,Accesorio,15,160000,3,2400000,2025,Febrero,5
P-0357,Disco HDD PNY Max,Almacenamiento,3,536000,4,1608000,2025,Agosto,2
P-0358,NAS Server PNY Pro,Almacenamiento,0,1385000,2,0,2014,Febrero,12
P-0359,Disco HDD Lexar SE,Almacenamiento,20,383000,4,7660000,2009,Septiembre,18
P-0360,Teclado Trust Slim,Periférico,5,393000,7,1965000,2013,Agosto,11
P-0361,Mochila Laptop AmazonBasics Ultra,Accesorio,44,292000,10,12848000,2022,Enero,27
P-0362,Cable UTP Cat6 Ubiquiti Lite,Red,3,34000,2,102000,2023,Diciembre,21
P-0363,SSD NVMe Transcend Ultra,Almacenamiento,6,924000,2,5544000,2025,Marzo,6
P-0364,Soporte Monitor AmazonBasics HD,Accesorio,1,223000,11,223000,2017,Julio,27
P-0365,Regulador Voltaje Tripp-Lite Elite,Energía,36,353000,12,12708000,2021,Noviembre,25
P-0366,Auriculares Asus Pro,Electrónico,0,375000,5,0,2022,Marzo,22
P-0367,Disco SSD Toshiba Elite,Almacenamiento,9,622000,13,5598000,2015,Febrero,15
P-0368,Limpiador Pantalla Vention Slim,Accesorio,61,42000,15,2562000,2004,Agosto,23
P-0369,Smartphone Lenovo SE,Electrónico,8,1749000,10,13992000,2006,Mayo,16
P-0370,Rack 12U Tenda Max,Red,30,1004000,9,30120000,2009,Junio,21
P-0371,Firewall Bosch V2,Seguridad,56,8124000,15,454944000,2006,Octubre,6
P-0372,DVR 8 Canales Hanwha Ultra,Seguridad,13,1571000,5,20423000,2001,Diciembre,26
P-0373,UPS 1200VA Forza Basic,Energía,4,784000,14,3136000,2018,Julio,5
P-0374,Cable HDMI Cable Matters Lite,Accesorio,5,58000,9,290000,2023,Noviembre,3
P-0375,Cartucho Epson HP X,Impresión,17,142000,8,2414000,2017,Febrero,23
P-0376,Cartucho Epson HP Ultra,Impresión,27,65000,7,1755000,2001,Junio,25
P-0377,Impresora 3D Xerox Lite,Impresión,13,3252000,5,42276000,2023,Noviembre,31
P-0378,Mini PC MSI V3,Electrónico,0,1406000,4,0,2010,Septiembre,15
P-0379,Mochila Laptop Vention Basic,Accesorio,10,244000,2,2440000,2001,Julio,2
P-0380,Impresora Láser Xerox Basic,Impresión,14,915000,3,12810000,2001,Junio,10
P-0381,Access Point Cisco V2,Red,4,420000,2,1680000,2018,Noviembre,7
P-0382,SSD NVMe Lexar Lite,Almacenamiento,14,946000,5,13244000,2015,Diciembre,2
P-0383,Disco SSD Crucial V2,Almacenamiento,0,260000,14,0,2016,Agosto,26
P-0384,UPS 2000VA CyberPower SE,Energía,9,856000,4,7704000,2016,Septiembre,7
P-0385,Mini PC HP 4K,Electrónico,61,1663000,14,101443000,2005,Enero,29
P-0386,Licencia Antivirus Autodesk Slim,Software,1,139000,2,139000,2001,Octubre,2
P-0387,Mini PC Samsung Ultra,Electrónico,43,1780000,12,76540000,2016,Febrero,11
P-0388,Licencia AutoCAD Adobe 4K,Software,1,2800000,6,2800000,2002,Abril,30
P-0389,Disco HDD Seagate V3,Almacenamiento,3,384000,12,1152000,2005,Noviembre,10
P-0390,Laptop Samsung HD,Electrónico,23,2708000,11,62284000,2002,Noviembre,17
P-0391,Gamepad Havit 4K,Periférico,35,327000,15,11445000,2019,Mayo,13
P-0392,Proyector LG V2,Electrónico,19,2581000,4,49039000,2002,Abril,27
P-0393,Disco SSD Kingston Pro,Almacenamiento,7,467000,8,3269000,2021,Diciembre,18
P-0394,Tóner HP Canon Ultra,Impresión,29,234000,13,6786000,2007,Febrero,16
P-0395,Soporte Monitor Ugreen V3,Accesorio,9,135000,2,1215000,2012,Julio,9
P-0396,Papel Fotográfico A4 Anker Mini,Accesorio,29,61000,10,1769000,2003,Febrero,2
P-0397,Cable HDMI Belkin V2,Accesorio,14,55000,7,770000,2018,Noviembre,25
P-0398,Teclado Microsoft Elite,Periférico,36,312000,13,11232000,2007,Diciembre,21
P-0399,SSD NVMe PNY Slim,Almacenamiento,56,762000,14,42672000,2018,Febrero,7
P-0400,Control de Acceso Dahua HD,Seguridad,17,886000,12,15062000,2019,Agosto,10
P-0401,Rack 12U Zyxel SE,Red,4,1390000,3,5560000,2001,Marzo,12
P-0402,Smartphone MSI Slim,Electrónico,9,2970000,5,26730000,2019,Diciembre,28
P-0403,Micrófono USB Trust 4K,Periférico,0,446000,9,0,2002,Mayo,25
P-0404,Scanner Havit Lite,Periférico,13,443000,10,5759000,2013,Enero,2
P-0405,Switch 24 puertos Netgear SE,Red,44,1500000,9,66000000,2021,Enero,28
P-0406,Switch 24 puertos Ubiquiti V3,Red,1,694000,8,694000,2018,Junio,21
P-0407,Mochila Laptop Anker X,Accesorio,3,157000,2,471000,2018,Enero,11
P-0408,Firewall Hikvision Slim,Seguridad,0,2365000,9,0,2016,Mayo,9
P-0409,SSD NVMe Seagate HD,Almacenamiento,60,418000,14,25080000,2010,Junio,4
P-0410,Soporte Monitor Orico Max,Accesorio,33,172000,9,5676000,2008,Junio,26
P-0411,Tarjeta SD WD V2,Almacenamiento,15,168000,4,2520000,2006,Julio,12
P-0412,Mouse Corsair SE,Periférico,0,145000,10,0,2021,Marzo,14
P-0413,Impresora Láser Kyocera Pro,Impresión,29,793000,6,22997000,2022,Abril,29
P-0414,Firewall Honeywell SE,Seguridad,8,4907000,15,39256000,2010,Septiembre,13
P-0415,Memoria RAM Seagate Ultra,Almacenamiento,15,373000,13,5595000,2007,Julio,24
P-0416,DVR 8 Canales Hanwha Mini,Seguridad,1,612000,5,612000,2008,Octubre,15
P-0417,Regleta Eléctrica Belkin Lite,Accesorio,15,111000,12,1665000,2012,Noviembre,29
P-0418,Impresora Inkjet Xerox Pro,Impresión,4,731000,9,2924000,2004,Marzo,31
P-0419,Funda Tablet AmazonBasics HD,Accesorio,13,59000,4,767000,2021,Marzo,13
P-0420,Impresora Láser Kyocera Slim,Impresión,54,2006000,11,108324000,2020,Marzo,11
P-0421,Control de Acceso Bosch Basic,Seguridad,20,998000,4,19960000,2009,Febrero,6
P-0422,Impresora Láser Brother Ultra,Impresión,4,1827000,2,7308000,2014,Octubre,16
P-0423,Escritorio Gaming DeskMate Mini,Mobiliario,0,1718000,9,0,2010,Julio,23
P-0424,Memoria RAM Toshiba HD,Almacenamiento,20,717000,7,14340000,2024,Octubre,16
P-0425,Auriculares Acer Mini,Electrónico,29,526000,14,15254000,2002,Noviembre,12
P-0426,Licencia Office 365 Adobe Ultra,Software,17,350000,14,5950000,2000,Abril,30
P-0427,UPS 1200VA Tripp-Lite Mini,Energía,0,1050000,10,0,2014,Agosto,26
P-0428,Impresora Inkjet Canon Basic,Impresión,0,658000,12,0,2019,Octubre,17
P-0429,Switch 8 puertos Mikrotik Plus,Red,16,768000,13,12288000,2018,Marzo,9
P-0430,Tóner HP Brother V2,Impresión,0,239000,11,0,2003,Abril,26
P-0431,Smart TV Asus HD,Electrónico,46,4319000,11,198674000,2002,Agosto,3
P-0432,Scanner Microsoft Basic,Periférico,6,690000,6,4140000,2017,Noviembre,24
P-0433,Scanner HyperX V3,Periférico,43,470000,13,20210000,2006,Mayo,14
P-0434,Servidor Rack 1U Asus V3,Electrónico,4,15402000,13,61608000,2016,Agosto,3
P-0435,UPS 1200VA Forza HD,Energía,30,769000,8,23070000,2008,Mayo,14
P-0436,Papel Fotográfico A4 Ugreen Max,Accesorio,39,50000,9,1950000,2004,Noviembre,20
P-0437,Funda Tablet AmazonBasics Max,Accesorio,1,97000,7,97000,2011,Enero,27
P-0438,UPS 2000VA CyberPower V3,Energía,1,1078000,2,1078000,2002,Agosto,6
P-0439,Cartucho Epson Epson Basic,Impresión,12,129000,5,1548000,2007,Mayo,18
P-0440,Cable UTP Cat6 Mikrotik Ultra,Red,61,32000,15,1952000,2011,Noviembre,10
P-0441,Soporte Monitor Cable Matters Lite,Accesorio,15,192000,4,2880000,2009,Septiembre,11
P-0442,Micrófono USB Corsair V3,Periférico,1,459000,9,459000,2005,Marzo,4
P-0443,Rack 12U TP-Link 4K,Red,63,802000,15,50526000,2014,Febrero,3
P-0444,Laptop LG Elite,Electrónico,0,4083000,5,0,2026,Agosto,11
P-0445,Auriculares HP Basic,Electrónico,39,1185000,9,46215000,2017,Junio,22
P-0446,Base Laptop Orico Pro,Accesorio,10,56000,10,560000,2022,Octubre,10
P-0447,Monitor MSI V3,Electrónico,11,1162000,10,12782000,2009,Mayo,10
P-0448,Patch Panel Tenda HD,Red,11,211000,3,2321000,2019,Noviembre,15
P-0449,Auriculares Asus Basic,Electrónico,65,666000,15,43290000,2025,Julio,20
P-0450,NAS Server WD Max,Almacenamiento,23,2863000,9,65849000,2020,Diciembre,23
P-0451,Papel Fotográfico A4 Cable Matters 4K,Accesorio,53,23000,12,1219000,2016,Mayo,14
P-0452,Funda Tablet Belkin Plus,Accesorio,38,148000,8,5624000,2000,Agosto,6
P-0453,Smartphone HP V3,Electrónico,9,1601000,3,14409000,2021,Mayo,23
P-0454,Soporte Monitor AmazonBasics Max,Accesorio,72,219000,15,15768000,2026,Abril,15
P-0455,Rack 12U TP-Link Basic,Red,51,1082000,15,55182000,2017,Julio,12
P-0456,Access Point Ubiquiti Pro,Red,46,356000,12,16376000,2009,Agosto,15
P-0457,UPS 2000VA Sola Pro,Energía,4,1147000,15,4588000,2021,Febrero,2
P-0458,Regulador Voltaje CyberPower HD,Energía,1,288000,3,288000,2003,Abril,24
P-0459,UPS 2000VA Tripp-Lite V2,Energía,30,1887000,7,56610000,2004,Julio,28
P-0460,Teclado Razer SE,Periférico,0,257000,2,0,2008,Octubre,30
P-0461,Impresora Láser Kyocera Plus,Impresión,49,2095000,11,102655000,2003,Junio,12
P-0462,NAS Server SanDisk Pro,Almacenamiento,20,3797000,6,75940000,2003,Octubre,20
P-0463,Cable UTP Cat6 D-Link Max,Red,32,25000,8,800000,2023,Mayo,14
P-0464,Proyector Toshiba Ultra,Electrónico,0,3818000,13,0,2017,Diciembre,9
P-0465,Tóner HP Epson Mini,Impresión,61,267000,14,16287000,2004,Mayo,21
P-0466,Tarjeta SD SanDisk Max,Almacenamiento,0,57000,3,0,2008,Enero,26
P-0467,Papel Fotográfico A4 Orico Max,Accesorio,0,35000,3,0,2009,Noviembre,31
P-0468,Gamepad Genius Lite,Periférico,0,328000,3,0,2019,Julio,2
P-0469,Memoria RAM PNY Plus,Almacenamiento,33,512000,15,16896000,2006,Mayo,3
P-0470,SSD NVMe Toshiba HD,Almacenamiento,28,366000,13,10248000,2022,Enero,22
P-0471,UPS 2000VA Eaton Elite,Energía,3,2183000,8,6549000,2010,Octubre,21
P-0472,Papel Fotográfico A4 Ugreen Lite,Accesorio,2,27000,3,54000,2006,Noviembre,13
P-0473,SSD NVMe Crucial Lite,Almacenamiento,2,358000,7,716000,2021,Diciembre,12
P-0474,Adaptador USB-C HDMI Cable Matters Lite,Accesorio,2,111000,11,222000,2020,Enero,17
P-0475,Teclado SteelSeries Pro,Periférico,19,282000,7,5358000,2008,Octubre,26
P-0476,DVR 8 Canales Bosch Lite,Seguridad,16,1265000,8,20240000,2016,Diciembre,24
P-0477,Papel Fotográfico A4 Ugreen X,Accesorio,10,62000,5,620000,2015,Agosto,22
P-0478,NAS Server SanDisk Ultra,Almacenamiento,49,4210000,13,206290000,2008,Mayo,6
P-0479,Cámara IP Dahua Max,Seguridad,18,665000,6,11970000,2001,Abril,31
P-0480,Memoria USB WD Slim,Almacenamiento,22,97000,5,2134000,2002,Octubre,1
P-0481,Gamepad A4Tech Pro,Periférico,5,356000,13,1780000,2020,Junio,5
P-0482,Sensor Movimiento Hanwha Plus,Seguridad,52,189000,12,9828000,2013,Abril,28
P-0483,Papel Fotográfico A4 Anker Ultra,Accesorio,16,60000,4,960000,2026,Noviembre,20
P-0484,Smart TV Apple X,Electrónico,43,3162000,11,135966000,2008,Abril,22
P-0485,Mini PC LG SE,Electrónico,58,925000,14,53650000,2001,Octubre,26
P-0486,Licencia Adobe CC Bitdefender SE,Software,13,1200000,3,15600000,2000,Mayo,15
P-0487,Base Laptop Ugreen Elite,Accesorio,0,220000,11,0,2010,Noviembre,2
P-0488,Soporte Monitor Cable Matters V2,Accesorio,13,177000,14,2301000,2024,Diciembre,5
P-0489,Router WiFi Cisco Pro,Red,5,280000,6,1400000,2004,Noviembre,3
P-0490,UPS 1200VA Eaton V3,Energía,17,1069000,5,18173000,2020,Noviembre,8
P-0491,Switch 24 puertos Netgear Max,Red,0,700000,9,0,2008,Marzo,25
P-0492,SSD NVMe WD Plus,Almacenamiento,4,425000,7,1700000,2005,Noviembre,21
P-0493,Cámara IP Dahua SE,Seguridad,21,774000,7,16254000,2023,Febrero,12
P-0494,Adaptador USB-C HDMI Cable Matters Lite,Accesorio,1,75000,3,75000,2014,Noviembre,12
P-0495,Monitor Samsung V2,Electrónico,59,823000,12,48557000,2017,Noviembre,13
P-0496,Impresora Inkjet Lexmark Elite,Impresión,2,885000,4,1770000,2022,Enero,31
P-0497,Switch 24 puertos D-Link HD,Red,11,1479000,12,16269000,2013,Mayo,19
P-0498,Base Laptop Orico Mini,Accesorio,25,62000,13,1550000,2017,Agosto,2
P-0499,Switch 8 puertos Tenda Mini,Red,5,224000,13,1120000,2000,Enero,20
P-0500,Funda Tablet Cable Matters HD,Accesorio,0,61000,11,0,2003,Octubre,5
P-0501,Licencia Antivirus ESET Elite,Software,1,307000,7,307000,2002,Junio,22
